"kunta","vuosi","month","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"049",2009,2,263,18,263,18,282,286,0.283687943262411,0.0354609929078014,0.24468085106383,0.0174825174825175
"091",2009,12,263,18,263,18,488,503,0.30327868852459,0.0512295081967213,0.338114754098361,0.00795228628230616
"167",2009,12,263,18,263,18,47,51,0.234042553191489,0.127659574468085,0.297872340425532,0
"249",2009,2,263,18,263,18,15,15,0.133333333333333,0.0666666666666667,0.133333333333333,0
"980",2009,1,263,18,263,18,48,49,0.3125,0.0416666666666667,0.208333333333333,0
"417",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",2009,9,263,17,263,18,145,148,0.268965517241379,0.0620689655172414,0.358620689655172,0.0135135135135135
"853",2009,4,263,17,263,18,162,167,0.179012345679012,0.0123456790123457,0.376543209876543,0.0419161676646707
"398",2009,5,263,17,263,18,87,92,0.149425287356322,0.0344827586206897,0.333333333333333,0
"179",2009,2,263,18,263,18,118,123,0.186440677966102,0.0254237288135593,0.271186440677966,0
"422",2009,3,263,18,263,18,6,6,0.166666666666667,0.166666666666667,0,0
"069",2009,10,263,18,263,29.5,9,9,0.333333333333333,0.111111111111111,0.333333333333333,0
"049",2009,5,263,18,263,18,268,274,0.283582089552239,0.0111940298507463,0.253731343283582,0.0145985401459854
"084",2009,9,263,18,263,18,31,31,0.193548387096774,0.032258064516129,0.225806451612903,0
"109",2009,5,263,18,263,18,54,56,0.333333333333333,0.0740740740740741,0.240740740740741,0
"837",2009,5,263,18,263,18,183,190,0.234972677595628,0.0327868852459016,0.278688524590164,0.0157894736842105
"398",2009,4,263,16,263,18,74,74,0.135135135135135,0.027027027027027,0.391891891891892,0
"179",2009,5,263,18,263,18,148,152,0.256756756756757,0.0337837837837838,0.189189189189189,0.00657894736842105
"858",2009,5,263,18,263,18,42,44,0.30952380952381,0,0.166666666666667,0
"398",2009,10,263,17,263,18,86,88,0.197674418604651,0.0348837209302326,0.267441860465116,0
"853",2009,6,263,18,263,18,159,173,0.245283018867925,0.0440251572327044,0.345911949685535,0.0115606936416185
"049",2009,10,263,18,263,24,275,288,0.407272727272727,0.0363636363636364,0.207272727272727,0.0138888888888889
"694",2009,5,263,18,263,18,32,35,0.28125,0.03125,0.1875,0
"853",2009,2,263,17,263,18,132,140,0.136363636363636,0.0227272727272727,0.310606060606061,0.00714285714285714
"092",2009,3,263,18,263,18,217,227,0.230414746543779,0.0460829493087558,0.258064516129032,0.00440528634361234
"698",2009,4,263,18,263,18,68,74,0.220588235294118,0.0441176470588235,0.308823529411765,0
"179",2009,3,263,18,263,18,146,152,0.184931506849315,0.0205479452054795,0.219178082191781,0
"837",2009,1,263,18,263,18,185,192,0.205405405405405,0.00540540540540541,0.248648648648649,0.0104166666666667
"564",2009,11,263,18,263,18,140,143,0.292857142857143,0.0571428571428571,0.264285714285714,0
"543",2009,7,263,18,263,18,45,48,0.422222222222222,0.0444444444444444,0.111111111111111,0
"049",2009,3,263,18,263,18,263,264,0.247148288973384,0.0304182509505703,0.262357414448669,0.00757575757575758
"179",2009,7,263,18,263,18,160,162,0.23125,0.01875,0.2375,0.0123456790123457
"905",2009,4,263,18,263,18,54,56,0.222222222222222,0,0.259259259259259,0.0357142857142857
"853",2009,3,263,18,263,18,167,176,0.269461077844311,0.0658682634730539,0.293413173652695,0.0113636363636364
"905",2009,8,263,18,263,18,52,54,0.211538461538462,0,0.307692307692308,0.037037037037037
"208",2009,9,263,18,263,18,16,17,0.125,0.0625,0.125,0
"607",2009,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592",2009,5,257,30,257,30,6,6,0.5,0,0,0
"698",2009,6,263,18,263,18,70,71,0.171428571428571,0.0428571428571429,0.285714285714286,0
"399",2009,4,263,18,263,18,12,12,0.166666666666667,0,0.0833333333333333,0
"678",2009,7,263,18,263,18,26,26,0.153846153846154,0,0.230769230769231,0
"092",2009,8,263,18,263,18,210,219,0.266666666666667,0.0285714285714286,0.214285714285714,0.0228310502283105
"078",2009,8,263,3,263,18,10,10,0,0,0.5,0
"049",2009,6,263,18,263,18,279,287,0.315412186379928,0.025089605734767,0.222222222222222,0.0174216027874564
"905",2009,5,263,18,263,18,66,69,0.242424242424242,0.0606060606060606,0.121212121212121,0.0289855072463768
"285",2009,10,263,17,263,18,42,45,0.214285714285714,0.0238095238095238,0.285714285714286,0.0666666666666667
"233",2009,11,263,18,263,18,16,20,0.1875,0,0.125,0
"736",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",2009,12,263,18,263,18,192,206,0.255208333333333,0.0625,0.333333333333333,0.00970873786407767
"425",2009,4,263,16,263,18,14,14,0.142857142857143,0,0.285714285714286,0
"179",2009,9,263,18,263,18,171,176,0.216374269005848,0.0116959064327485,0.251461988304094,0.0113636363636364
"680",2009,5,263,18,263,18,17,18,0.176470588235294,0,0.176470588235294,0
"257",2009,7,263,18,263,18,44,46,0.340909090909091,0.0227272727272727,0.181818181818182,0.0217391304347826
"626",2009,1,263,18,263,18,6,6,0.166666666666667,0,0.166666666666667,0
"499",2009,7,263,18,263,18,16,15,0.1875,0,0.1875,0
"564",2009,7,263,18,263,18,179,187,0.217877094972067,0.0223463687150838,0.268156424581006,0.0160427807486631
"915",2009,5,263,18,263,18,24,25,0.25,0.0416666666666667,0.208333333333333,0
"179",2009,12,263,18,263,18,123,125,0.203252032520325,0.032520325203252,0.284552845528455,0.008
"049",2009,11,263,18,263,18,251,257,0.334661354581673,0.0557768924302789,0.243027888446215,0.0194552529182879
"425",2009,1,263,18,263,18,24,24,0.333333333333333,0.0416666666666667,0.291666666666667,0
"926",2009,2,263,26,263,26.5,6,7,0.5,0,0,0
"980",2009,11,263,18,263,18,33,33,0.333333333333333,0.0303030303030303,0.121212121212121,0
"915",2009,8,263,18,263,18,16,17,0.25,0,0.1875,0.0588235294117647
"609",2009,7,263,18,263,18,65,65,0.153846153846154,0.0461538461538462,0.276923076923077,0
"837",2009,11,263,18,263,18,186,191,0.252688172043011,0.043010752688172,0.28494623655914,0.0157068062827225
"704",2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",2009,6,263,18,263,18,184,183,0.282608695652174,0.0271739130434783,0.255434782608696,0
"103",2009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893",2009,9,251,30,251.5,42,10,10,0.5,0.1,0.1,0
"152",2009,12,263,18,263,18,7,7,0.142857142857143,0,0.285714285714286,0
"149",2009,7,263,18,263,18,7,7,0,0,0.285714285714286,0
"543",2009,9,263,18,263,18,40,37,0.35,0.075,0.225,0.027027027027027
"061",2009,5,263,18,263,18,13,14,0.307692307692308,0,0.0769230769230769,0
"410",2009,3,263,17,263,18,22,21,0.0909090909090909,0.0454545454545455,0.363636363636364,0
"092",2009,6,263,18,263,18,200,205,0.23,0.04,0.285,0.0341463414634146
"167",2009,6,263,18,263,18,52,52,0.307692307692308,0.0192307692307692,0.230769230769231,0
"287",2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2009,11,263,17,263,18,9,11,0.333333333333333,0,0.222222222222222,0
"922",2009,11,251,18,251,18,7,7,0.428571428571429,0,0,0
"536",2009,10,263,18,263,18,40,41,0.2,0.025,0.225,0
"500",2009,7,263,NA,263,NA,NA,5,NA,NA,NA,0
"297",2009,6,263,18,263,18,80,84,0.225,0.0125,0.3,0.0119047619047619
"205",2009,2,263,17,263,18,27,27,0.0740740740740741,0,0.333333333333333,0
"186",2009,7,263,17,263,18,50,47,0.24,0.08,0.24,0
"109",2009,2,263,18,263,18,48,49,0.229166666666667,0.0208333333333333,0.229166666666667,0
"536",2009,3,263,18,263,18,39,39,0.128205128205128,0,0.256410256410256,0
"245",2009,8,263,18,263,18,40,42,0.2,0.025,0.125,0
"564",2009,1,263,18,263,18,156,161,0.217948717948718,0,0.237179487179487,0.0062111801242236
"018",2009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"018",2009,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543",2009,5,263,18,263,18,54,54,0.259259259259259,0.0185185185185185,0.12962962962963,0
"010",2009,11,263,18,263,18,11,12,0.272727272727273,0,0.363636363636364,0
"425",2009,5,263,18,263,18,17,17,0.176470588235294,0.0588235294117647,0,0
"092",2009,10,263,18,263,18,213,226,0.244131455399061,0.0469483568075117,0.272300469483568,0.0221238938053097
"170",2009,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",2009,8,263,18,263,18,195,201,0.256410256410256,0.041025641025641,0.271794871794872,0
"734",2009,6,263,17,263,18,63,63,0.142857142857143,0,0.349206349206349,0.0158730158730159
"410",2009,5,263,18,263,39.5,29,29,0.413793103448276,0.0344827586206897,0.241379310344828,0
"179",2009,8,263,18,263,18,134,139,0.253731343283582,0.0298507462686567,0.223880597014925,0.0215827338129496
"106",2009,5,263,18,263,26.5,49,48,0.36734693877551,0.0204081632653061,0.306122448979592,0
"684",2009,7,263,17,263,18,28,28,0.0714285714285714,0,0.321428571428571,0
"536",2009,11,263,18,263,18,36,37,0.277777777777778,0.0555555555555556,0.25,0
"111",2009,6,263,18,263,18,21,21,0.19047619047619,0.0476190476190476,0.19047619047619,0
"172",2009,3,263,0,263,18,5,5,0,0,0.6,0
"743",2009,8,263,18,263,18,61,61,0.19672131147541,0.0163934426229508,0.147540983606557,0
"859",2009,4,263,18,263,18,11,12,0.272727272727273,0.0909090909090909,0.0909090909090909,0
"743",2009,3,263,17,263,18,55,57,0.163636363636364,0,0.327272727272727,0.0175438596491228
"213",2009,8,263,18,263,24,7,6,0.428571428571429,0,0.285714285714286,0
"286",2009,8,263,18,263,18,57,58,0.210526315789474,0.0350877192982456,0.245614035087719,0.0344827586206897
"092",2009,12,263,18,263,18,209,224,0.263157894736842,0.0287081339712919,0.253588516746411,0.0133928571428571
"614",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",2009,2,263,15,263,17,5,6,0,0,0.4,0
"398",2009,8,263,18,263,18,83,90,0.253012048192771,0.0240963855421687,0.27710843373494,0.0111111111111111
"734",2009,5,263,18,263,18,36,37,0.277777777777778,0.0277777777777778,0.222222222222222,0
"255",2009,7,263,18,263,18,29,29,0.275862068965517,0.0344827586206897,0.137931034482759,0
"232",2009,12,263,18,263,18,9,9,0.444444444444444,0.111111111111111,0,0
"418",2009,4,263,18,263,18,25,25,0.28,0.04,0.16,0
"564",2009,5,263,18,263,18,164,169,0.231707317073171,0.024390243902439,0.213414634146341,0.0236686390532544
"790",2009,4,263,18,263,18,26,26,0.115384615384615,0.0384615384615385,0.346153846153846,0
"609",2009,8,263,18,263,18,85,84,0.176470588235294,0.0235294117647059,0.247058823529412,0
"285",2009,12,263,18,263,18,52,51,0.288461538461538,0.0384615384615385,0.153846153846154,0.0196078431372549
"232",2009,6,263,18,263,18,15,15,0.2,0,0,0
"426",2009,9,263,15,263,18,15,15,0.0666666666666667,0,0.266666666666667,0
"286",2009,5,263,17,263,18,64,67,0.125,0.015625,0.296875,0.0298507462686567
"084",2009,6,263,18,263,18,24,26,0.25,0,0.25,0
"734",2009,8,263,17,263,18,51,54,0.156862745098039,0.0196078431372549,0.352941176470588,0.0740740740740741
"410",2009,12,263,18,263,18,22,21,0.136363636363636,0.0454545454545455,0.227272727272727,0
"853",2009,8,263,18,263,18,142,145,0.21830985915493,0.0140845070422535,0.330985915492958,0.00689655172413793
"980",2009,10,263,18,263,18,38,37,0.210526315789474,0.0263157894736842,0.157894736842105,0
"245",2009,4,263,6,263,18,37,40,0.135135135135135,0.0810810810810811,0.459459459459459,0.05
"927",2009,7,263,18,263,18,31,32,0.161290322580645,0,0.258064516129032,0
"398",2009,7,263,18,263,18,86,92,0.116279069767442,0,0.337209302325581,0.0217391304347826
"285",2009,1,263,17,263,18,32,33,0.15625,0.03125,0.25,0
"749",2009,8,263,18,263,18,26,26,0.269230769230769,0.0384615384615385,0.0769230769230769,0
"078",2009,3,263,17,263,18,13,12,0.153846153846154,0,0.461538461538462,0
"729",2009,6,263,9,263,18,6,6,0.166666666666667,0,0.5,0
"604",2009,3,263,18,263,18,24,24,0.125,0,0.125,0
"609",2009,5,263,17,263,18,78,81,0.217948717948718,0.0384615384615385,0.371794871794872,0
"244",2009,6,263,13,263,18,19,18,0.210526315789474,0,0.473684210526316,0
"257",2009,3,263,18,263,18,50,47,0.2,0,0.26,0
"297",2009,1,263,18,263,18,86,88,0.197674418604651,0.0232558139534884,0.232558139534884,0
"071",2009,3,263,18,263,18,9,10,0.222222222222222,0,0.111111111111111,0
"109",2009,11,263,18,263,18,53,58,0.226415094339623,0.0188679245283019,0.226415094339623,0.0344827586206897
"905",2009,10,263,18,263,18,58,63,0.379310344827586,0.0344827586206897,0.103448275862069,0.0158730158730159
"743",2009,6,263,18,263,18,70,69,0.228571428571429,0.0142857142857143,0.171428571428571,0
"749",2009,5,263,18,263,18,27,28,0.259259259259259,0,0.185185185185185,0
