"kunta","vuosi","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"109",2009,263,18,263,18,655,672,0.254961832061069,0.0290076335877863,0.256488549618321,0.00446428571428571
"091",2009,263,18,263,18,5938,6195,0.292017514314584,0.0421017177500842,0.302290333445605,0.0137207425343019
"853",2009,263,18,263,18,1767,1856,0.234295415959253,0.0407470288624788,0.321448783248444,0.0161637931034483
"564",2009,263,18,263,18,1930,1986,0.238341968911917,0.0367875647668394,0.250777202072539,0.00906344410876133
"092",2009,263,18,263,18,2555,2665,0.255577299412916,0.0324853228962818,0.256360078277886,0.0112570356472795
"049",2009,263,18,263,18,3309,3403,0.310667875491085,0.0326382592928377,0.245089150800846,0.0167499265354099
"398",2009,263,18,263,18,957,1006,0.165099268547544,0.0219435736677116,0.306165099268548,0.00596421471172962
"434",2009,263,18,263,18,129,129,0.178294573643411,0.0310077519379845,0.209302325581395,0
"205",2009,263,18,263,18,449,464,0.167037861915367,0.0400890868596882,0.271714922048998,0.00862068965517241
"895",2009,263,17,263,18,131,128,0.0687022900763359,0.00763358778625954,0.305343511450382,0.0078125
"905",2009,263,18,263,18,666,693,0.276276276276276,0.0285285285285285,0.21021021021021,0.0173160173160173
"837",2009,263,18,263,18,2249,2333,0.261004891062695,0.033348154735438,0.279235215651401,0.0102871838834119
"297",2009,263,18,263,18,958,986,0.230688935281837,0.0334029227557411,0.258872651356994,0.00608519269776876
"499",2009,263,18,263,18,229,228,0.331877729257642,0.0349344978165939,0.14410480349345,0.0087719298245614
"609",2009,263,18,263,18,816,828,0.189950980392157,0.0343137254901961,0.297794117647059,0.00241545893719807
"560",2009,263,18,263,18,138,133,0.152173913043478,0.0507246376811594,0.27536231884058,0
"832",2009,263,14,263,18,50,47,0.1,0.02,0.32,0
"202",2009,263,18,263,18,364,370,0.263736263736264,0.0357142857142857,0.21978021978022,0.0027027027027027
"186",2009,263,18,263,18,458,469,0.248908296943231,0.0349344978165939,0.213973799126638,0.00426439232409382
"532",2009,263,18,263,18,184,193,0.173913043478261,0.016304347826087,0.217391304347826,0.00518134715025907
"098",2009,263,18,263,18,236,240,0.148305084745763,0.00847457627118644,0.245762711864407,0
"167",2009,263,18,263,18,693,723,0.189033189033189,0.0505050505050505,0.29004329004329,0.0138312586445367
"249",2009,263,18,263,18,96,97,0.15625,0.0520833333333333,0.322916666666667,0
"980",2009,263,18,263,18,470,476,0.238297872340426,0.0276595744680851,0.223404255319149,0.00210084033613445
"417",2009,257,27,263,41,18,18,0.5,0.0555555555555556,0.166666666666667,0.0555555555555556
"179",2009,263,18,263,18,1663,1701,0.221888153938665,0.0294648226097414,0.245339747444378,0.00705467372134039
"422",2009,263,17,263,18,65,64,0.169230769230769,0.0769230769230769,0.384615384615385,0
"069",2009,263,18,263,18,114,114,0.12280701754386,0.0526315789473684,0.245614035087719,0
"084",2009,263,18,263,18,292,296,0.181506849315068,0.0205479452054795,0.229452054794521,0.00675675675675676
"858",2009,263,18,263,18,458,458,0.264192139737991,0.0218340611353712,0.213973799126638,0.00655021834061135
"694",2009,263,18,263,18,319,330,0.241379310344828,0.0188087774294671,0.260188087774295,0
"698",2009,263,18,263,18,714,753,0.19047619047619,0.0364145658263305,0.288515406162465,0.00265604249667995
"543",2009,263,18,263,18,528,533,0.287878787878788,0.0397727272727273,0.179924242424242,0.00562851782363977
"208",2009,263,18,263,18,145,149,0.16551724137931,0.0275862068965517,0.179310344827586,0
"607",2009,263,12,263,18,47,45,0.127659574468085,0.0212765957446809,0.404255319148936,0
"592",2009,263,18,263,18,52,54,0.269230769230769,0,0.25,0
"399",2009,263,18,263,18,113,110,0.238938053097345,0.0353982300884956,0.168141592920354,0
"678",2009,263,18,263,18,282,282,0.226950354609929,0.0425531914893617,0.226950354609929,0.00709219858156028
"078",2009,263,17,263,18,100,100,0.09,0.02,0.28,0
"285",2009,263,18,263,18,519,538,0.198458574181118,0.0173410404624277,0.304431599229287,0.0148698884758364
"233",2009,263,18,263,18,188,193,0.138297872340426,0.0159574468085106,0.191489361702128,0.00518134715025907
"736",2009,259,22,259,41,18,16,0.5,0,0.277777777777778,0
"425",2009,263,18,263,18,224,223,0.200892857142857,0.0357142857142857,0.169642857142857,0
"680",2009,263,18,263,18,245,240,0.183673469387755,0.0244897959183673,0.23265306122449,0.00416666666666667
"257",2009,263,18,263,18,502,504,0.314741035856574,0.0239043824701195,0.215139442231076,0.00793650793650794
"626",2009,263,18,263,18,62,60,0.112903225806452,0.032258064516129,0.241935483870968,0
"915",2009,263,18,263,18,201,202,0.194029850746269,0.0447761194029851,0.283582089552239,0.0198019801980198
"926",2009,263,18,263,18,46,46,0.173913043478261,0,0.239130434782609,0
"704",2009,263,18,263,18,52,50,0.211538461538462,0.0192307692307692,0.192307692307692,0
"103",2009,263,18,263,18,26,24,0.115384615384615,0,0.269230769230769,0
"893",2009,263,18,263,18,79,83,0.240506329113924,0.0253164556962025,0.189873417721519,0
"152",2009,263,18,263,18,41,42,0.0975609756097561,0,0.365853658536585,0
"149",2009,263,18,263,18,49,53,0.163265306122449,0.0408163265306122,0.306122448979592,0
"061",2009,263,18,263,18,157,162,0.121019108280255,0.00636942675159236,0.331210191082803,0
"410",2009,263,18,263,18,237,240,0.210970464135021,0.0379746835443038,0.194092827004219,0.00416666666666667
"287",2009,263,18,263,18,72,72,0.0555555555555556,0.0138888888888889,0.333333333333333,0.0277777777777778
"108",2009,263,18,263,18,116,119,0.172413793103448,0.0172413793103448,0.224137931034483,0
"922",2009,263,18,263,18,73,72,0.246575342465753,0,0.287671232876712,0
"536",2009,263,18,263,18,448,450,0.25,0.0200892857142857,0.223214285714286,0.00222222222222222
"500",2009,263,18,263,18,124,123,0.32258064516129,0.0564516129032258,0.233870967741935,0
"245",2009,263,18,263,18,413,442,0.256658595641647,0.0314769975786925,0.220338983050847,0.0158371040723982
"018",2009,263,18,263,18,70,70,0.228571428571429,0.0571428571428571,0.185714285714286,0
"010",2009,263,18,263,18,97,98,0.144329896907216,0.0103092783505155,0.22680412371134,0
"170",2009,263,18,263,18,62,62,0.338709677419355,0.0645161290322581,0.241935483870968,0.0161290322580645
"734",2009,263,18,263,18,539,560,0.183673469387755,0.0241187384044527,0.282003710575139,0.0125
"106",2009,263,18,263,18,470,485,0.24468085106383,0.025531914893617,0.261702127659574,0
"684",2009,263,18,263,18,406,413,0.206896551724138,0.0221674876847291,0.206896551724138,0.00726392251815981
"111",2009,263,18,263,18,162,163,0.166666666666667,0.0432098765432099,0.265432098765432,0.00613496932515337
"172",2009,263,18,263,18,30,31,0.0333333333333333,0.0333333333333333,0.433333333333333,0
"743",2009,263,18,263,18,732,741,0.209016393442623,0.0163934426229508,0.234972677595628,0.0067476383265857
"859",2009,263,18,263,18,135,139,0.2,0.0518518518518519,0.2,0.00719424460431655
"213",2009,263,18,263,18,42,39,0.214285714285714,0,0.285714285714286,0
"286",2009,263,18,263,18,692,708,0.169075144508671,0.0173410404624277,0.265895953757225,0.00988700564971751
"614",2009,263,18,263,18,16,17,0.125,0,0.1875,0
"595",2009,263,17,263,18,45,46,0.111111111111111,0.0222222222222222,0.311111111111111,0
